DonorId,Potential Duplicates
24768.0,"[22512.0, 27067.0, 26116.0, 20454.0]"
26116.0,"[22512.0, 27067.0, 24768.0]"
46331.0,"[22512.0, 10698.0, 22779.0, 27067.0]"
30542.0,"[4256.0, 13630.0]"
13630.0,"[45938.0, 45270.0, 30542.0, 12134.0]"
87106.0,"[2371.0, 81763.0, 78215.0, 76647.0, 49806.0, 44917.0]"
76647.0,"[87106.0, 2371.0, 78215.0, 18513.0, 44917.0]"
44917.0,"[87106.0, 2371.0, 78215.0, 76647.0, 18513.0]"
2371.0,"[87106.0, 43684.0, 76647.0, 44917.0, 3740.0, 20031.0]"
78215.0,"[87106.0, 81763.0, 44917.0, 76647.0]"
4245.0,"[15734.0, 11595.0, 3671.0, 10631.0]"
10631.0,"[22436.0, 11595.0, 18892.0, 30741.0, 4245.0, 17946.0]"
3671.0,"[16677.0, 4587.0, 11085.0, 4245.0, 6105.0]"
11595.0,"[22436.0, 10631.0, 18892.0, 4245.0, 17916.0]"
15734.0,"[12096.0, 3921.0, 4245.0, 22078.0, 19231.0]"
12383.0,"[4602.0, 19245.0, 14510.0]"
4602.0,"[17250.0, 19245.0, 11118.0, 14510.0, 12383.0]"
14510.0,"[4602.0, 19245.0, 17250.0, 12383.0]"
19245.0,"[4602.0, 11118.0, 14510.0, 12383.0]"
16662.0,"[21186.0, 9199.0, 46319.0, 3921.0, 1174.0, 9305.0, 19231.0]"
1174.0,[16662.0]
3921.0,"[12096.0, 35371.0, 15734.0, 16662.0, 9305.0, 22078.0, 19231.0]"
21186.0,"[10662.0, 14569.0, 9299.0, 16662.0, 20439.0]"
46319.0,"[50144.0, 17250.0, 5039.0, 47792.0, 16662.0, 46303.0]"
34484.0,[28108.0]
28108.0,"[28032.0, 34484.0]"
22131.0,[74093.0]
74093.0,"[77464.0, 22131.0]"
2670.0,"[16776.0, 11116.0, 9196.0, 2766.0, 16664.0, 3674.0]"
9196.0,"[16776.0, 11116.0, 2670.0, 2766.0, 44855.0, 16664.0, 3674.0]"
16664.0,"[3674.0, 9196.0, 2766.0, 2670.0]"
11116.0,"[3674.0, 9196.0, 2766.0, 2670.0]"
3674.0,"[11116.0, 9196.0, 2766.0, 2670.0, 16664.0]"
12348.0,"[10721.0, 12134.0]"
14916.0,"[4984.0, 5361.0, 15003.0, 12134.0]"
69856.0,[15048.0]
15048.0,[69856.0]
35363.0,[24854.0]
24854.0,"[5497.0, 35363.0]"
87392.0,[53876.0]
53876.0,[87392.0]
81119.0,[74485.0]
74485.0,[81119.0]
85045.0,[8261.0]
8261.0,[85045.0]
87393.0,[36385.0]
36385.0,[87393.0]
53850.0,"[985.0, 24103.0]"
985.0,"[8169.0, 53850.0, 24103.0]"
24103.0,"[74176.0, 985.0, 53850.0]"
85063.0,[26208.0]
26208.0,[85063.0]
86341.0,[86256.0]
86256.0,"[8641.0, 86341.0, 4007.0]"
84162.0,[86285.0]
86285.0,"[53808.0, 84162.0]"
77953.0,[84150.0]
84150.0,[77953.0]
513.0,"[7336.0, 28166.0, 3422.0, 4032.0]"
3422.0,"[7336.0, 513.0, 28166.0, 4032.0]"
7336.0,"[4032.0, 513.0, 28166.0, 3422.0]"
4032.0,"[7336.0, 513.0, 28166.0, 3422.0]"
28166.0,"[7336.0, 513.0, 3422.0, 4032.0]"
10454.0,"[74156.0, 84142.0]"
84142.0,"[69570.0, 10454.0, 84127.0]"
74156.0,"[69570.0, 83330.0, 10454.0, 84127.0]"
47471.0,"[25232.0, 78868.0]"
78868.0,[47471.0]
25232.0,[47471.0]
682.0,"[4256.0, 45938.0, 1205.0, 6607.0]"
74735.0,[53996.0]
53996.0,[74735.0]
23543.0,[23777.0]
23777.0,[23543.0]
84335.0,"[44627.0, 78053.0]"
44627.0,"[78053.0, 84335.0]"
78053.0,"[44627.0, 84335.0]"
87365.0,"[84937.0, 34206.0]"
34206.0,"[44577.0, 74114.0, 25076.0, 87365.0]"
84937.0,"[86840.0, 34305.0, 76314.0, 87365.0]"
939.0,"[16120.0, 10276.0, 2477.0]"
16120.0,"[939.0, 10276.0, 2477.0]"
2477.0,"[16120.0, 939.0, 10276.0]"
10276.0,"[16120.0, 939.0, 2477.0]"
29766.0,"[9554.0, 2246.0]"
2246.0,"[9554.0, 29766.0]"
9554.0,"[2246.0, 29766.0]"
5791.0,[3374.0]
3374.0,[5791.0]
87213.0,[932.0]
932.0,[87213.0]
68108.0,"[38083.0, 2349.0]"
38083.0,"[34609.0, 68108.0, 2349.0]"
2349.0,"[38083.0, 68108.0]"
81764.0,[50192.0]
50192.0,[81764.0]
1817.0,"[14089.0, 4419.0, 15622.0]"
4419.0,[1817.0]
15622.0,"[1817.0, 14089.0]"
14089.0,"[1817.0, 15622.0]"
16861.0,"[17.0, 13436.0]"
17.0,"[13436.0, 16861.0]"
13436.0,"[17.0, 16861.0]"
46961.0,[2336.0]
2336.0,[46961.0]
74473.0,"[33153.0, 33111.0]"
33153.0,"[74473.0, 33111.0]"
33111.0,"[74473.0, 33153.0]"
32605.0,[72697.0]
72697.0,[32605.0]
27118.0,[14507.0]
14507.0,"[11622.0, 12725.0, 27118.0]"
16507.0,"[68017.0, 22772.0]"
22772.0,[16507.0]
68017.0,"[16507.0, 23460.0]"
84939.0,[81291.0]
81291.0,"[84939.0, 69548.0]"
47055.0,[74415.0]
74415.0,"[6597.0, 47055.0]"
87090.0,[83233.0]
83233.0,[87090.0]
74747.0,[84182.0]
84182.0,[74747.0]
6448.0,"[2978.0, 2402.0]"
2402.0,"[6448.0, 24077.0]"
2978.0,"[6448.0, 24077.0]"
47473.0,"[19082.0, 87030.0]"
19082.0,"[47473.0, 85725.0]"
87030.0,[47473.0]
10085.0,[47514.0]
47514.0,[10085.0]
52455.0,"[49816.0, 74210.0]"
74210.0,"[49816.0, 44916.0, 52455.0]"
49816.0,"[74210.0, 44916.0, 52455.0]"
18114.0,[12232.0]
12232.0,[18114.0]
84977.0,"[997.0, 14886.0, 4527.0, 84275.0, 87126.0]"
997.0,"[14886.0, 4527.0, 84977.0, 84275.0, 87126.0]"
84275.0,"[84977.0, 997.0, 14886.0, 4527.0]"
87126.0,"[84977.0, 54029.0, 997.0, 4527.0]"
4527.0,"[997.0, 14886.0, 84977.0, 84275.0, 87126.0]"
32873.0,"[32872.0, 33083.0, 33102.0]"
33102.0,"[32873.0, 33083.0]"
33083.0,"[32873.0, 33102.0]"
32872.0,"[32873.0, 33210.0]"
33210.0,[32872.0]
78186.0,"[32778.0, 32903.0]"
32778.0,[78186.0]
32903.0,[78186.0]
87232.0,"[16242.0, 48883.0]"
16242.0,"[87232.0, 18377.0]"
48883.0,"[87232.0, 18377.0]"
73975.0,"[26993.0, 52187.0, 2188.0]"
52187.0,"[26993.0, 9146.0, 2188.0, 73975.0]"
26993.0,"[52187.0, 73975.0]"
2188.0,"[9146.0, 52187.0, 73975.0]"
1134.0,"[1608.0, 6442.0]"
1608.0,[1134.0]
6442.0,"[769.0, 1134.0]"
7288.0,[13845.0]
13845.0,[7288.0]
87181.0,[74067.0]
74067.0,[87181.0]
87006.0,[38795.0]
38795.0,[87006.0]
53808.0,[86285.0]
87035.0,[85500.0]
85500.0,[87035.0]
87000.0,[25191.0]
25191.0,"[87000.0, 8241.0, 7061.0]"
19152.0,[12804.0]
12804.0,"[19152.0, 19827.0, 69627.0]"
86999.0,[69565.0]
69565.0,[86999.0]
77476.0,[78088.0]
78088.0,[77476.0]
86996.0,[16188.0]
16188.0,"[86996.0, 67356.0]"
8607.0,"[3843.0, 81697.0, 12659.0, 67940.0]"
67940.0,"[17696.0, 25796.0, 17777.0, 45341.0, 8607.0]"
81697.0,"[81698.0, 84004.0, 4688.0, 81748.0, 72277.0, 81756.0, 8607.0]"
12659.0,[8607.0]
3843.0,"[27204.0, 27430.0, 8607.0]"
86994.0,[47446.0]
47446.0,[86994.0]
23862.0,"[23506.0, 74901.0]"
74901.0,[23862.0]
23506.0,[23862.0]
27874.0,"[1744.0, 74388.0, 74567.0]"
74567.0,"[1744.0, 27874.0, 74388.0]"
1744.0,"[27874.0, 74567.0]"
74388.0,"[27874.0, 74567.0]"
77026.0,"[68880.0, 9101.0, 74158.0]"
9101.0,"[77026.0, 8211.0, 55605.0]"
74158.0,"[77026.0, 43629.0, 55605.0]"
68880.0,[77026.0]
82972.0,[657.0]
657.0,[82972.0]
83844.0,[26848.0]
