RegulatedEntityName,DonationsValue,DonationEvents,DonationMean,RegEntity_Group
Jess Phillips MP,46656.75,5,9331.35,Very Small Entity
Jo Churchill MP,5100.0,1,5100.0,Single Donation Entity
Jo Stevens MP,3800.0,1,3800.0,Single Donation Entity
Joan Ryan MP,58966.6,14,4211.9,Very Small Entity
John Bell,1600.0,1,1600.0,Single Donation Entity
Johnny Mercer MP,35062.8,13,2697.138461538462,Very Small Entity
Jonathan Ashworth MP,9050.0,2,4525.0,Very Small Entity
Judith Cummins,3033.5,2,1516.75,Very Small Entity
Julian Knight MP,10867.0,1,10867.0,Single Donation Entity
Jury Team [De-registered 09/05/11],69500.29000000001,5,13900.058,Very Small Entity
Karin Smyth MP,3124.55,1,3124.55,Single Donation Entity
Karl McCartney MP,10397.0,1,10397.0,Single Donation Entity
Karl Turner MP,9846.0,4,2461.5,Very Small Entity
Kate Green MP,49005.0,5,9801.0,Very Small Entity
Kate Hollern MP,14359.0,2,7179.5,Very Small Entity
Kate Osamor MP,12200.33,4,3050.0825,Very Small Entity
Kevan Jones MP,32611.25,7,4658.75,Very Small Entity
Kevin Foster MP,14080.39,3,4693.463333333333,Very Small Entity
Kieran Mullan,5000.0,1,5000.0,Single Donation Entity
Kwasi Kwarteng MP,47253.74,16,2953.35875,Very Small Entity
LGBTory,10000.0,1,10000.0,Single Donation Entity
Labour Campaign for Human Rights,58334.0,5,11666.8,Very Small Entity
Labour Leave Limited,375000.0,9,41666.666666666664,Very Small Entity
Labour Network in England Ltd,10000.0,1,10000.0,Single Donation Entity
Labour No To AV,8911.54,2,4455.77,Very Small Entity
Labour No to AV,192083.95,1,192083.95,Single Donation Entity
Labour Party,357496731.14,18126,19722.869421825002,Labour Party
Labour People Ltd,70000.0,7,10000.0,Very Small Entity
Labour Together,206000.0,8,25750.0,Very Small Entity
Labour Tomorrow Ltd,335400.0,9,37266.666666666664,Very Small Entity
Labour Tribune MPs Group,35000.0,3,11666.666666666666,Very Small Entity
Labour Women's Network,51090.0,7,7298.571428571428,Very Small Entity
Labour for a Public-Vote,205375.0,13,15798.076923076924,Very Small Entity
Laura Devlin,3150.0,1,3150.0,Single Donation Entity
Laura Evans,2000.0,1,2000.0,Single Donation Entity
Layla Moran,1948.13,1,1948.13,Single Donation Entity
League Against Cruel Sports (UK) Limited,10500.0,17,617.6470588235294,Very Small Entity
Leave.EU Group Ltd,6400599.0,3,2133533.0,Very Small Entity
Leeds Liberal Democrat Federation,3000.0,1,3000.0,Single Donation Entity
Left List [De-registered 20/04/10],15200.0,9,1688.888888888889,Very Small Entity
Legalise Cannabis Alliance [De-registered 21/11/06],35500.0,13,2730.769230769231,Very Small Entity
Leo Docherty,33974.85,6,5662.474999999999,Very Small Entity
Let's Stay Together,111501.0,8,13937.625,Very Small Entity
Liberal Democrat Friends of Israel,43000.0,5,8600.0,Very Small Entity
Liberal Democrats,96860185.28,12139,7979.255727819425,Liberal Democrats
Liberal Democrats Parliamentary Party,2414878.69,52,46439.974807692306,Small Entity
Liberal Democrats Scottish Parliamentary Party,113270.7,20,5663.535,Very Small Entity
Life,12569.02,3,4189.673333333333,Very Small Entity
Lilian Greenwood,6767.62,4,1691.905,Very Small Entity
Liverpool Labour Group,30000.0,2,15000.0,Very Small Entity
Liz Kendall MP,174075.0,27,6447.222222222223,Very Small Entity
Liz McInnes MP,2439.0,1,2439.0,Single Donation Entity
Liz Saville Roberts,38665.4,7,5523.628571428571,Very Small Entity
Llyr Gruffydd AM,2431.71,1,2431.71,Single Donation Entity
London First,10000.0,1,10000.0,Single Donation Entity
London and Northern Dining Club,10000.0,1,10000.0,Single Donation Entity
Lord Nicholas Bethell MEP,3933.9,1,3933.9,Single Donation Entity
Lord Richard Inglewood,13036.8,3,4345.599999999999,Very Small Entity
Lorely Burt MP,3430.0,1,3430.0,Single Donation Entity
Louise Haigh MP,2900.0,1,2900.0,Single Donation Entity
Lucy Frazer MP,10867.0,1,10867.0,Single Donation Entity
Maggie Throup MP,9232.58,4,2308.145,Very Small Entity
Mandy Jones AM,2431.71,1,2431.71,Single Donation Entity
Marcus Fysh,2574.0,1,2574.0,Single Donation Entity
Maria Caulfield MP,4500.0,2,2250.0,Very Small Entity
Mark Garnier MP,22267.09,5,4453.418,Very Small Entity
Mark Macmillan,2000.0,1,2000.0,Single Donation Entity
Mark Menzies MP,89791.21,23,3903.9656521739134,Very Small Entity
Mark Pawsey MP,9444.07,3,3148.023333333333,Very Small Entity
Mark Spencer MP,3000.0,1,3000.0,Single Donation Entity
Martyn Underhill,30000.0,1,30000.0,Single Donation Entity
Mary Fee MSP,2200.0,1,2200.0,Single Donation Entity
Matthew Vickers,2000.0,1,2000.0,Single Donation Entity
Maurice Golden MSP,2000.0,1,2000.0,Single Donation Entity
Mebyon Kernow - The Party for Cornwall,9410.9,4,2352.725,Very Small Entity
Melanie Onn,16300.0,2,8150.0,Very Small Entity
Mhairi Black MP,2851.0,1,2851.0,Single Donation Entity
Michael Tomlinson MP,15573.91,3,5191.303333333333,Very Small Entity
Michelle Donelan MP,125383.14,23,5451.440869565217,Very Small Entity
Michelle Ovens Ltd,195000.0,3,65000.0,Very Small Entity
Mickey Brady,1922.1,1,1922.1,Single Donation Entity
Mike Wood MP,2500.0,1,2500.0,Single Donation Entity
Miriam Cates,2000.0,1,2000.0,Single Donation Entity
Miss Anne McIntosh MP,5245.2,1,5245.2,Single Donation Entity
Miss Christine McCafferty MP,4811.98,1,4811.98,Single Donation Entity
Miss Kate Forbes,1700.0,1,1700.0,Single Donation Entity
Momentum,48258.46,4,12064.615,Very Small Entity
Movement for Change,1503953.6,44,34180.76363636364,Very Small Entity
Mr Adam Holloway MP,31341.0,11,2849.181818181818,Very Small Entity
Mr Adam Price MP,13345.2,3,4448.400000000001,Very Small Entity
Mr Adrian Bailey MP,4973.39,1,4973.39,Single Donation Entity
Mr Adrian Sanders MP,5500.0,2,2750.0,Very Small Entity
Mr Afzal Amin,1600.0,1,1600.0,Single Donation Entity
Mr Afzal Khan,4323.0,2,2161.5,Very Small Entity
Mr Aidan Burley MP,11400.0,3,3800.0,Very Small Entity
Mr Alan Meale MP,12245.2,2,6122.6,Very Small Entity
Mr Alan Waltham,2500.0,1,2500.0,Single Donation Entity
Mr Albert Owen MP,2453.15,1,2453.15,Single Donation Entity
Mr Alex Cunningham MP,5000.0,1,5000.0,Single Donation Entity
Mr Alex Rowley MSP,7000.0,2,3500.0,Very Small Entity
Mr Alistair Carmichael MP,82394.34999999999,12,6866.195833333332,Very Small Entity
Mr Alok Sharma MP,17827.57,5,3565.514,Very Small Entity
Mr Alun Cairns MP,35420.95,8,4427.61875,Very Small Entity
Mr Alun Craig Williams,1600.0,1,1600.0,Single Donation Entity
Mr Anas Sarwar MP,171191.43,11,15562.857272727271,Very Small Entity
Mr Andrew Bowie,4650.0,2,2325.0,Very Small Entity
Mr Andrew Bridgen MP,7500.0,3,2500.0,Very Small Entity
Mr Andrew Dismore MP,6445.2,2,3222.6,Very Small Entity
Mr Andrew Duff MEP,3933.9,1,3933.9,Single Donation Entity
Mr Andrew George MP,11441.22,5,2288.2439999999997,Very Small Entity
Mr Andrew Griffiths MP,12000.0,2,6000.0,Very Small Entity
Mr Andrew Gwynne MP,50019.36,14,3572.8114285714287,Very Small Entity
Mr Andrew Love MP,10733.0,4,2683.25,Very Small Entity
Mr Andrew Miller MP,16753.2,5,3350.6400000000003,Very Small Entity
