,RegulatedEntityName,DonationsValue,DonationEvents,DonationMean,RegEntity_Group
224,Christopher Heaton-Harris,3933.9,1,3933.9,Single Donation Entity
225,Christopher Pincher,17918.0,6,2986.3333333333335,Unknown
226,Christopher Ruane,12045.2,3,4015.066666666667,Unknown
227,Chuka Umunna,286778.16,33,8690.247272727273,Unknown
228,Claire Clay,8940.0,1,8940.0,Single Donation Entity
229,Claire Curtis-Thomas,4037.45,2,2018.725,Unknown
230,Claire Perry,9939.39,1,9939.39,Single Donation Entity
231,Claire Ward,9745.2,2,4872.6,Unknown
232,Clare Haughey,8453.0,2,4226.5,Unknown
233,Clare Moody,12455.87,1,12455.87,Single Donation Entity
234,Clare Short,60373.96,25,2414.9584,Unknown
235,Clive Betts,10345.2,2,5172.6,Unknown
236,Clive Grunshaw,5000.0,2,2500.0,Unknown
237,Clive Lewis,121033.0,17,7119.588235294118,Unknown
238,Co-Operative Party,14922375.07,534,27944.522602996254,Unknown
239,Colin Burgon,3674.35,3,1224.7833333333333,Unknown
240,Colin Challen,7630.0,4,1907.5,Unknown
241,Colin Edward Breed,11595.2,3,3865.066666666667,Unknown
242,Common Good,14000.0,1,14000.0,Single Donation Entity
243,Communist Party Of Britain,210166.46,15,14011.097333333333,Unknown
244,Compass,64000.0,5,12800.0,Unknown
245,Conor Burns,24734.75,9,2748.3055555555557,Unknown
246,Conor Mcginn,8431.1,4,2107.775,Unknown
247,Conservative And Unionist Party,419413549.81,20356,20603.927579583415,Unknown
248,Conservative Christian Fellowship,1123627.54,33,34049.3193939394,Unknown
249,Conservative Councillors' Association,53150.0,7,7592.857142857143,Unknown
250,Conservative Friends Of Chinese,11250.0,1,11250.0,Single Donation Entity
251,Conservative Friends Of India,62301.0,8,7787.625,Unknown
252,Conservative Friends Of International Development,10000.0,1,10000.0,Single Donation Entity
253,Conservative Friends Of Pakistan,18900.0,3,6300.0,Unknown
254,Conservative Friends Of Poland,10000.0,1,10000.0,Single Donation Entity
255,Conservative Group For Europe,188587.0,51,3697.7843137254904,Unknown
256,Conservative Middle East Council,1551393.51,69,22483.963913043477,Unknown
257,Conservative Muslim Forum,130410.0,15,8694.0,Unknown
258,Conservative Rural Action Group,588911.0,6,98151.83333333333,Unknown
259,Conservative Voice Limited,50000.0,3,16666.666666666668,Unknown
260,Conservative/Unionist Members 1922 Committee,103500.0,10,10350.0,Unknown
261,Conservatives For Change Ltd,189000.0,14,13500.0,Unknown
262,Conservatives In Ltd,1798815.76,75,23984.210133333334,Unknown
263,Constituency Campaigning Services Board,1976631.99,36,54906.44416666667,Unknown
264,County Durham Council Supporters Club,5710.0,2,2855.0,Unknown
265,Craig Mackinlay,4500.0,2,2250.0,Unknown
266,Craig Tracey,2000.0,1,2000.0,Single Donation Entity
267,Craig Whittaker,22240.73,7,3177.247142857143,Unknown
268,Craig Williams,7852.0599999999995,3,2617.353333333333,Unknown
269,Crispin Jeremy Rupert Blunt,132516.11,34,3897.532647058823,Unknown
270,Cruelty Free International,600.0,1,600.0,Single Donation Entity
271,Cumbria Broadband Rural And Community Projects Limited,20145.0,3,6715.0,Unknown
272,Dame Angela Watkinson,13465.8,5,2693.16,Unknown
273,Dame Anne Begg,9754.33,3,3251.443333333333,Unknown
274,Dame Joan Ruddock,7996.82,2,3998.41,Unknown
275,Dame Louise Ellman,11992.56,7,1713.222857142857,Unknown
276,Dame Rosie Winterton,9600.0,3,3200.0,Unknown
277,Damian Collins,13940.0,4,3485.0,Unknown
278,Damian Green,1563.5,1,1563.5,Single Donation Entity
279,Damien Egan,4000.0,1,4000.0,Single Donation Entity
280,Damien Moore,20772.82,5,4154.564,Unknown
281,Dan Carden,19412.75,3,6470.916666666667,Unknown
282,Dan Jarvis,245617.19,24,10234.049583333333,Unknown
283,Dan Norris,9484.2,2,4742.1,Unknown
284,Daniel Byles,5921.469999999999,2,2960.7349999999997,Unknown
285,Daniel Hannan,3933.9,1,3933.9,Single Donation Entity
286,Daniel Johnson,6400.0,1,6400.0,Single Donation Entity
287,Daniel Kawczynski,62387.78,18,3465.987777777778,Unknown
288,Daniel Poulter,12500.0,1,12500.0,Single Donation Entity
289,Daniel Zeichner,2998.65,1,2998.65,Single Donation Entity
290,Daria Jean Taylor,3780.13,2,1890.065,Unknown
291,Darren Grimes,1350630.3599999999,8,168828.79499999998,Unknown
292,Darren Jones,49992.65,5,9998.53,Unknown
293,Darren Millar,6186.0,3,2062.0,Unknown
294,Dave Watts,20167.370000000003,4,5041.842500000001,Unknown
295,David A Laws,4000.0,1,4000.0,Single Donation Entity
296,David Amess,87063.27,21,4145.87,Unknown
297,David Anderson,25812.6,10,2581.2599999999998,Unknown
298,David Blunkett,9074.0,3,3024.6666666666665,Unknown
299,David Borrow,1199.69,1,1199.69,Single Donation Entity
300,David Burrowes,2276.0,1,2276.0,Single Donation Entity
301,David Cairns,11338.52,5,2267.704,Unknown
302,David Cameron,515230.2,49,10514.902040816327,Unknown
303,David Campbell Bannerman,1501.0,1,1501.0,Single Donation Entity
304,David Chaytor,15345.2,3,5115.066666666667,Unknown
305,David Chidgey,5245.2,1,5245.2,Single Donation Entity
306,David Clelland,6845.2,2,3422.6,Unknown
307,David Davies,4199.98,2,2099.99,Unknown
308,David Davis,439298.03,48,9152.042291666667,Unknown
309,David Gauke,22704.67,1,22704.67,Single Donation Entity
310,David Gold,2000.0,1,2000.0,Single Donation Entity
311,David Hamilton,18241.2,5,3648.2400000000002,Unknown
312,David Hanson,10345.2,2,5172.6,Unknown
313,David Heath,5353.0,2,2676.5,Unknown
314,David Heathcoat-Amory,24850.0,9,2761.1111111111113,Unknown
315,David Jones,14770.26,4,3692.565,Unknown
316,David Lammy,490241.35,78,6285.1455128205125,Unknown
317,David Laurie Ruffley,68450.89,12,5704.240833333333,Unknown
318,David Lidington,40652.25,12,3387.6875,Unknown
319,David Linden,1989.48,1,1989.48,Single Donation Entity
320,David Mackintosh,8037.0,3,2679.0,Unknown
321,David Marshall,10345.2,2,5172.6,Unknown
322,David Martin,3933.9,1,3933.9,Single Donation Entity
323,David Miliband,683977.27,61,11212.742131147541,Unknown
324,David Morris,84893.67,24,3537.23625,Unknown
325,David Mundell,58502.0,19,3079.0526315789475,Unknown
326,David Nuttall,2179.18,1,2179.18,Single Donation Entity
327,David Rutley,2490.0,1,2490.0,Single Donation Entity
328,David Stewart,1620.0,1,1620.0,Single Donation Entity
329,David Sumberg,7758.9,2,3879.45,Unknown
330,David Tredinnick,3025.0,1,3025.0,Single Donation Entity
331,David Warburton,144516.0,19,7606.105263157895,Unknown
332,David Willetts,67335.79000000001,11,6121.435454545455,Unknown
333,Dawn Butler,17147.0,3,5715.666666666667,Unknown
334,Ddb Uk Limited,191000.0,7,27285.714285714286,Unknown
335,Dean Lockhart,2000.0,1,2000.0,Single Donation Entity
336,Deep Blue,2500.0,1,2500.0,Single Donation Entity
337,Deidre Brock,4400.0,2,2200.0,Unknown
338,Democracy 2015,19114.739999999998,4,4778.6849999999995,Unknown
339,Democracy Movement,845614.52,4,211403.63,Unknown
340,Democratic Party,100000.0,1,100000.0,Single Donation Entity
341,Democratic Reform Company,599721.66,9,66635.74,Unknown
342,Democratic Unionist Party - D.U.P.,1031146.9,73,14125.300000000001,Unknown
343,Denis Macshane,16764.41,5,3352.882,Unknown
344,Denis Murphy,15500.0,3,5166.666666666667,Unknown
345,Dennis Turner,1500.0,1,1500.0,Single Donation Entity
346,Derek Thomas,17821.0,2,8910.5,Unknown
347,Derek Vaughan,3000.0,2,1500.0,Unknown
348,Derek Wyatt,44255.39,15,2950.3593333333333,Unknown
349,Des Browne,1505.82,1,1505.82,Single Donation Entity
350,Desmond Swayne,13745.2,3,4581.733333333334,Unknown
351,Diana Mary Organ,5245.2,1,5245.2,Single Donation Entity
352,Diana Ruth Johnson,9650.92,4,2412.73,Unknown
353,Diana Wallis,3825.0,1,3825.0,Single Donation Entity
354,Diane Abbott,45979.65,11,4179.968181818182,Unknown
355,Dominic Grieve,8245.2,2,4122.6,Unknown
356,Dominic Raab,254478.37,30,8482.612333333333,Unknown
357,Don Foster,11260.44,2,5630.22,Unknown
358,Don'T Cook Party,75000.0,2,37500.0,Unknown
359,Doug Naysmith,3595.4,1,3595.4,Single Donation Entity
360,Douglas Alexander,26723.59,7,3817.655714285714,Unknown
361,Douglas Carswell,2000.0,1,2000.0,Single Donation Entity
362,Douglas Henderson,6246.2,2,3123.1,Unknown
363,Douglas Hogg,1700.0,1,1700.0,Single Donation Entity
364,Douglas Ross,2000.0,1,2000.0,Single Donation Entity
365,Dr Alasdair Mcdonnell,3500.0,1,3500.0,Single Donation Entity
366,Dr Andrew Murrison,24850.0,9,2761.1111111111113,Unknown
367,Dr Ashok Kumar,18882.8,7,2697.542857142857,Unknown
368,Dr Brian Iddon,10345.2,2,5172.6,Unknown
369,Dr Caroline Lucas,200740.0,21,9559.047619047618,Unknown
370,Dr Charles Tannock,17584.87,5,3516.9739999999997,Unknown
371,Dr Desmond Turner,2342.39,1,2342.39,Single Donation Entity
372,Dr Gavin Strang,5245.2,1,5245.2,Single Donation Entity
373,Dr Gregg Mcclymont,2025.0,1,2025.0,Single Donation Entity
374,Dr Howard Stoate,10745.2,2,5372.6,Unknown
375,Dr Julian Huppert,43034.0,3,14344.666666666666,Unknown
376,Dr Laurence Carmichael,2000.0,1,2000.0,Single Donation Entity
377,Dr Lewis Moonie,5245.2,1,5245.2,Single Donation Entity
378,Dr Liam Fox,824532.34,88,9369.685681818182,Unknown
379,Dr Lisa Cameron,25181.78,7,3597.3971428571426,Unknown
380,Dr Lynne Jones,6415.2,2,3207.6,Unknown
381,Dr Matthew Offord,24749.7,10,2474.9700000000003,Unknown
382,Dr Phillip Lee,50853.479999999996,11,4623.043636363636,Unknown
383,Dr Phyllis Starkey,2000.0,1,2000.0,Single Donation Entity
384,Dr Robert Spink,15006.5,4,3751.625,Unknown
385,Dr Rudi Vis,5245.2,1,5245.2,Single Donation Entity
386,Dr Stella Creasy,14832.0,4,3708.0,Unknown
387,Dr Stephen Ladyman,14100.0,4,3525.0,Unknown
388,Dr Tania Mathias,19500.0,4,4875.0,Unknown
389,Dr Thérèse Coffey,33574.09,4,8393.5225,Unknown
390,Dr Vincent Cable,35822.0,6,5970.333333333333,Unknown
391,Duma Polska = Polish Pride,58600.0,22,2663.6363636363635,Unknown
392,Duncan Hames,11003.0,3,3667.6666666666665,Unknown
393,East Herts People,22047.71,2,11023.855,Unknown
394,Economists For Brexit,60000.0,4,15000.0,Unknown
395,Economists For Remain,22565.0,1,22565.0,Single Donation Entity
396,Ed Miliband,52835.8,4,13208.95,Unknown
397,Eddie Hughes,7277.5,2,3638.75,Unknown
398,Edward Argar,13217.0,4,3304.25,Unknown
399,Edward Balls,182634.14,18,10146.341111111113,Unknown
400,Edward Davey,14607.0,6,2434.5,Unknown
401,Edward Garnier,24817.41,8,3102.17625,Unknown
402,Edward Izzard,16500.0,2,8250.0,Unknown
403,Edward Leigh,2000.0,1,2000.0,Single Donation Entity
404,Edward Mcmillan-Scott,3933.9,1,3933.9,Single Donation Entity
405,Edward Miliband,391663.08,59,6638.357288135593,Unknown
406,Edward Timpson,862423.03,15,57494.86866666667,Unknown
407,Edward Vaizey,16274.79,5,3254.958,Unknown
408,Edwina Hart Am,1625.0,1,1625.0,Single Donation Entity
409,Elfyn Llwyd,15977.189999999999,5,3195.4379999999996,Unknown
410,Elisha Mccallion,1809.74,1,1809.74,Single Donation Entity
411,Elizabeth Savage,2187.55,1,2187.55,Single Donation Entity
412,Elizabeth Truss,8200.54,1,8200.54,Single Donation Entity
413,Eluned Morgan,3933.9,1,3933.9,Single Donation Entity
414,Emily Thornberry,3229.0,4,807.25,Unknown
415,Emma Lewell-Buck,3154.78,2,1577.39,Unknown
416,Emma Little-Pengelly Mp,2700.0,1,2700.0,Single Donation Entity
417,Emma Reynolds,15398.0,5,3079.6,Unknown
418,English Democrats,99000.0,11,9000.0,Unknown
419,Eric Illsley,10245.2,2,5122.6,Unknown
420,Eric Joyce,14031.970000000001,5,2806.3940000000002,Unknown
421,Eric Pickles,15800.0,4,3950.0,Unknown
422,Eryl Mcnally,3933.3,1,3933.3,Single Donation Entity
423,Esther Mcvey,15550.0,4,3887.5,Unknown
424,European Movement Of Uk Ltd,546239.0,54,10115.537037037036,Unknown
425,European Research Group (Erg),10000.0,1,10000.0,Single Donation Entity
426,Fabian Hamilton,4535.68,2,2267.84,Unknown
427,Fabian Society,101053.0,11,9186.636363636364,Unknown
428,Fair Pay Fair Trade Party,16040.0,2,8020.0,Unknown
429,Faisal Rashid,7022.17,2,3511.085,Unknown
430,Flick Drummond,2800.0,1,2800.0,Single Donation Entity
431,Floyd Millen,1500.0,2,750.0,Unknown
432,Focus On Scotland,649240.0,34,19095.29411764706,Unknown
433,Forward Wales,55662.5,11,5060.227272727273,Unknown
434,Francis Maude,6246.2,2,3123.1,Unknown
435,Frank Cook,8245.2,2,4122.6,Unknown
436,Frank Dobson,13235.0,4,3308.75,Unknown
437,Frank Doran,5245.2,1,5245.2,Single Donation Entity
